id,simple_name,english_name,chinese_name,search_name
1,BR,Brazil,巴西,bra
2,DE,Germany,德国,ger
3,ES,Spain,西班牙,esp
4,PT,Portugal,葡萄牙,por
5,FR,France,法国,fra
6,AR,Argentina,阿根廷,arg
7,EN,England,英格兰,eng
8,BE,Belgium,比利时,bel
9,CO,Colombia,哥伦比亚,col
10,PE,Peru,秘鲁,per
11,UY,Uruguay,乌拉圭,uru
12,CH,Switzerland,瑞士,sui
13,HR,Croatia,克罗地亚,cro
14,MX,Mexico,墨西哥,mex
15,PL,Poland,波兰,pol
16,DK,Denmark,丹麦,den
17,SE,Sweden,瑞典,swe
18,IS,Iceland,冰岛,isl
19,IR,Iran,伊朗,irn
20,RS,Serbia,塞尔维亚,srb
21,KR,South Korea,韩国,kor
22,SN,Senegal,塞内加尔,sen
23,CR,Costa Rica,哥斯达黎加,crc
24,AU,Australia,澳大利亚,aus
25,JP,Japan,日本,jpn
26,RU,Russia,俄罗斯,rus
27,NG,Nigeria,尼日利亚,nig
28,MA,Morocco,摩洛哥,mar
29,PA,Panama,巴拿马,pan
30,EG,Egypt,埃及,egy
31,TN,Tunisia,突尼斯,tun
32,SA,Saudi Arabia,沙特阿拉伯,ksa